C_X,C_N,C_L,F_in,C_N_in,I0,Time
3.120436191558838,1.3778889179229736,0.00645720399916172,0.001,10,150,107.7889447236181
3.123229503631592,1.3817760944366455,0.006458263844251633,0.001,10,150,108.5427135678392
3.125960350036621,1.3856666088104248,0.006459180265665054,0.001,10,150,109.29648241206031
3.1286301612854004,1.389561414718628,0.006459956523030996,0.001,10,150,110.05025125628141
3.1312403678894043,1.3934600353240967,0.006460597272962332,0.001,10,150,110.80402010050251
3.1337921619415283,1.3973629474639893,0.006461105775088072,0.001,10,150,111.55778894472363
3.136287212371826,1.4012696743011475,0.006461485289037228,0.001,10,150,112.31155778894473
3.1387264728546143,1.4051806926727295,0.006461739540100098,0.001,10,150,113.06532663316584
3.1411116123199463,1.4090964794158936,0.006461871787905693,0.001,10,150,113.81909547738694
3.1434435844421387,1.413017988204956,0.006461885292083025,0.001,10,150,114.57286432160805
3.145723581314087,1.4169437885284424,0.006461783312261105,0.001,10,150,115.32663316582915
3.1479530334472656,1.420874834060669,0.006461569108068943,0.001,10,150,116.08040201005026
3.150132894515991,1.4248120784759521,0.006461245473474264,0.001,10,150,116.83417085427136
3.152264356613159,1.428753137588501,0.006460815668106079,0.001,10,150,117.58793969849246
3.154348611831665,1.4327003955841064,0.006460281554609537,0.001,10,150,118.34170854271358
3.156386613845825,1.4366533756256104,0.006459647789597511,0.001,10,150,119.09547738693468
3.158379316329956,1.4406116008758545,0.006458916701376438,0.001,10,150,119.84924623115579
3.1603281497955322,1.4445750713348389,0.0064580910839140415,0.001,10,150,120.60301507537689
3.162233591079712,1.448545217514038,0.006457172334194183,0.001,10,150,121.356783919598
3.1640970706939697,1.452521562576294,0.006456164177507162,0.001,10,150,122.1105527638191
3.165919303894043,1.4565036296844482,0.006455068942159414,0.001,10,150,122.86432160804021
3.167701482772827,1.4604918956756592,0.0064538889564573765,0.001,10,150,123.61809045226131
3.1694443225860596,1.4644877910614014,0.006452626083046198,0.001,10,150,124.37185929648241
3.1711487770080566,1.4684889316558838,0.00645128358155489,0.001,10,150,125.12562814070353
3.1728157997131348,1.4724972248077393,0.006449863780289888,0.001,10,150,125.87939698492463
3.1744461059570312,1.4765121936798096,0.006448368541896343,0.001,10,150,126.63316582914574
3.1760404109954834,1.4805338382720947,0.006446800194680691,0.001,10,150,127.38693467336684
3.1775999069213867,1.4845616817474365,0.006445160135626793,0.001,10,150,128.14070351758795
3.1791250705718994,1.488598108291626,0.006443451624363661,0.001,10,150,128.89447236180905
3.180617094039917,1.492640733718872,0.006441676057875156,0.001,10,150,129.64824120603015
3.1820762157440186,1.4966909885406494,0.006439835764467716,0.001,10,150,130.40201005025128
3.1835033893585205,1.5007479190826416,0.006437931675463915,0.001,10,150,131.15577889447238
3.18489933013916,1.504812479019165,0.006435966584831476,0.001,10,150,131.90954773869348
3.186264753341675,1.508882761001587,0.006433942820876837,0.001,10,150,132.66331658291458
3.1876003742218018,1.5129611492156982,0.006431860849261284,0.001,10,150,133.41708542713567
3.1889069080352783,1.5170466899871826,0.006429723929613829,0.001,10,150,134.1708542713568
3.190185070037842,1.52113938331604,0.006427532993257046,0.001,10,150,134.9246231155779
3.1914353370666504,1.5252397060394287,0.006425289437174797,0.001,10,150,135.678391959799
3.1926584243774414,1.5293476581573486,0.006422995124012232,0.001,10,150,136.4321608040201
3.193855047225952,1.5334632396697998,0.006420651450753212,0.001,10,150,137.18592964824123
3.195025682449341,1.5375864505767822,0.006418260280042887,0.001,10,150,137.93969849246233
