Index_within_Experiment,Time,C_X,C_N,C_L,C_x0,C_N0,F_in,C_N_in,I0
190,143.2160804,2.900323738,6.530671944,0.005004434,1.5,1.6,0.006,7,103
191,143.9698492,2.901357846,6.558046602,0.005011486,1.5,1.6,0.006,7,103
192,144.7236181,2.902376197,6.585424671,0.005018474,1.5,1.6,0.006,7,103
193,145.4773869,2.903379075,6.612806089,0.005025399,1.5,1.6,0.006,7,103
194,146.2311558,2.904366757,6.640190794,0.005032261,1.5,1.6,0.006,7,103
195,146.9849246,2.90533952,6.667578726,0.005039061,1.5,1.6,0.006,7,103
196,147.7386935,2.906297633,6.694969824,0.0050458,1.5,1.6,0.006,7,103
197,148.4924623,2.907241366,6.722364031,0.005052479,1.5,1.6,0.006,7,103
198,149.2462312,2.90817098,6.749761287,0.005059099,1.5,1.6,0.006,7,103
199,150,2.909086737,6.777161537,0.005065661,1.5,1.6,0.006,7,103
0,0,0.9,0.7,0,0.9,0.7,0.004,14,119
1,0.753768844,0.927624927,0.732535495,9.14E-05,0.9,0.7,0.004,14,119
2,1.507537688,0.955651264,0.764910492,0.000183193,0.9,0.7,0.004,14,119
3,2.261306533,0.984044051,0.797135101,0.000275249,0.9,0.7,0.004,14,119
4,3.015075377,1.012772716,0.829218077,0.000367471,0.9,0.7,0.004,14,119
5,3.768844221,1.041789851,0.861173513,0.00045974,0.9,0.7,0.004,14,119
6,4.522613065,1.071047852,0.893015628,0.000551941,0.9,0.7,0.004,14,119
7,5.27638191,1.1005007,0.924758201,0.000643962,0.9,0.7,0.004,14,119
8,6.030150754,1.130103967,0.956414571,0.000735698,0.9,0.7,0.004,14,119
9,6.783919598,1.159814813,0.987997641,0.00082705,0.9,0.7,0.004,14,119
10,7.537688442,1.189591987,1.019519873,0.000917924,0.9,0.7,0.004,14,119
11,8.291457286,1.219395827,1.050993291,0.00100823,0.9,0.7,0.004,14,119
12,9.045226131,1.249188259,1.082429481,0.001097885,0.9,0.7,0.004,14,119
13,9.798994975,1.2789328,1.113839588,0.001186812,0.9,0.7,0.004,14,119
14,10.55276382,1.308594554,1.145234321,0.001274939,0.9,0.7,0.004,14,119
15,11.30653266,1.338140214,1.176623948,0.001362197,0.9,0.7,0.004,14,119
16,12.06030151,1.367538062,1.208018299,0.001448527,0.9,0.7,0.004,14,119
17,12.81407035,1.396757969,1.239426767,0.001533872,0.9,0.7,0.004,14,119
18,13.5678392,1.425771395,1.270858303,0.001618181,0.9,0.7,0.004,14,119
19,14.32160804,1.454551389,1.302321421,0.00170141,0.9,0.7,0.004,14,119
20,15.07537688,1.483072587,1.333824196,0.001783519,0.9,0.7,0.004,14,119
21,15.82914573,1.511311217,1.365374265,0.001864474,0.9,0.7,0.004,14,119
22,16.58291457,1.539245093,1.396978825,0.001944246,0.9,0.7,0.004,14,119
23,17.33668342,1.56685362,1.428644635,0.002022812,0.9,0.7,0.004,14,119
24,18.09045226,1.59411779,1.460378014,0.002100155,0.9,0.7,0.004,14,119
25,18.84422111,1.621013709,1.492186798,0.002176246,0.9,0.7,0.004,14,119
26,19.59798995,1.64751398,1.52407986,0.002251043,0.9,0.7,0.004,14,119
27,20.35175879,1.673616541,1.556058383,0.002324554,0.9,0.7,0.004,14,119
28,21.10552764,1.699320919,1.588123063,0.00239679,0.9,0.7,0.004,14,119
29,21.85929648,1.724626867,1.620274526,0.002467763,0.9,0.7,0.004,14,119
30,22.61306533,1.749534365,1.652513323,0.002537486,0.9,0.7,0.004,14,119
31,23.36683417,1.774043619,1.684839933,0.00260597,0.9,0.7,0.004,14,119
32,24.12060302,1.798155059,1.717254761,0.002673227,0.9,0.7,0.004,14,119
33,24.87437186,1.821869344,1.749758141,0.002739272,0.9,0.7,0.004,14,119
34,25.6281407,1.845187356,1.782350335,0.002804115,0.9,0.7,0.004,14,119
35,26.38190955,1.868110206,1.815031528,0.002867772,0.9,0.7,0.004,14,119
36,27.13567839,1.890639227,1.847801837,0.002930253,0.9,0.7,0.004,14,119
37,27.88944724,1.912775982,1.880661304,0.002991575,0.9,0.7,0.004,14,119
38,28.64321608,1.934522258,1.913609899,0.003051749,0.9,0.7,0.004,14,119
39,29.39698492,1.955880067,1.946647518,0.00311079,0.9,0.7,0.004,14,119
40,30.15075377,1.976851649,1.979773984,0.003168712,0.9,0.7,0.004,14,119
41,30.90452261,1.997439468,2.012989051,0.003225529,0.9,0.7,0.004,14,119
42,31.65829146,2.017646216,2.046292395,0.003281256,0.9,0.7,0.004,14,119
43,32.4120603,2.03747481,2.079683623,0.003335908,0.9,0.7,0.004,14,119
44,33.16582915,2.056928393,2.113162267,0.0033895,0.9,0.7,0.004,14,119
45,33.91959799,2.076010332,2.146727789,0.003442047,0.9,0.7,0.004,14,119
46,34.67336683,2.094724224,2.180379575,0.003493564,0.9,0.7,0.004,14,119
47,35.42713568,2.113073888,2.21411694,0.003544066,0.9,0.7,0.004,14,119
48,36.18090452,2.131063372,2.247939126,0.003593571,0.9,0.7,0.004,14,119
49,36.93467337,2.148696947,2.281845302,0.003642094,0.9,0.7,0.004,14,119
50,37.68844221,2.165979114,2.315834566,0.00368965,0.9,0.7,0.004,14,119
51,38.44221106,2.182914595,2.349905939,0.003736258,0.9,0.7,0.004,14,119
52,39.1959799,2.199508341,2.384058374,0.003781932,0.9,0.7,0.004,14,119
53,39.94974874,2.21576553,2.418290749,0.003826691,0.9,0.7,0.004,14,119
54,40.70351759,2.231691563,2.452601868,0.003870551,0.9,0.7,0.004,14,119
55,41.45728643,2.247292069,2.486990466,0.003913529,0.9,0.7,0.004,14,119
56,42.21105528,2.262572901,2.5214552,0.003955644,0.9,0.7,0.004,14,119
57,42.96482412,2.277540141,2.55599466,0.003996913,0.9,0.7,0.004,14,119
58,43.71859296,2.292200093,2.590607359,0.004037353,0.9,0.7,0.004,14,119
59,44.47236181,2.306559292,2.625291738,0.004076984,0.9,0.7,0.004,14,119
60,45.22613065,2.320624493,2.660046167,0.004115823,0.9,0.7,0.004,14,119
61,45.9798995,2.334402682,2.694868942,0.004153889,0.9,0.7,0.004,14,119
62,46.73366834,2.347901068,2.729758286,0.004191201,0.9,0.7,0.004,14,119
63,47.48743719,2.361127088,2.764712349,0.004227778,0.9,0.7,0.004,14,119
64,48.24120603,2.374088403,2.79972921,0.004263638,0.9,0.7,0.004,14,119
65,48.99497487,2.386792901,2.834806874,0.004298803,0.9,0.7,0.004,14,119
66,49.74874372,2.399248696,2.869943273,0.004333291,0.9,0.7,0.004,14,119
67,50.50251256,2.411464127,2.905136266,0.004367122,0.9,0.7,0.004,14,119
68,51.25628141,2.42344776,2.940383641,0.004400316,0.9,0.7,0.004,14,119
69,52.01005025,2.435208387,2.975683112,0.004432893,0.9,0.7,0.004,14,119
70,52.7638191,2.446755026,3.011032319,0.004464875,0.9,0.7,0.004,14,119
71,53.51758794,2.458096919,3.046428831,0.004496281,0.9,0.7,0.004,14,119
72,54.27135678,2.46924205,3.081870607,0.004527131,0.9,0.7,0.004,14,119
73,55.02512563,2.480190354,3.117358009,0.004557433,0.9,0.7,0.004,14,119
74,55.77889447,2.490943495,3.152890742,0.004587192,0.9,0.7,0.004,14,119
75,56.53266332,2.501503717,3.188468319,0.004616417,0.9,0.7,0.004,14,119
76,57.28643216,2.511873277,3.22409025,0.004645113,0.9,0.7,0.004,14,119
77,58.04020101,2.522054446,3.25975604,0.004673288,0.9,0.7,0.004,14,119
78,58.79396985,2.532049507,3.295465189,0.004700949,0.9,0.7,0.004,14,119
79,59.54773869,2.541860755,3.331217191,0.004728102,0.9,0.7,0.004,14,119
80,60.30150754,2.5514905,3.367011535,0.004754755,0.9,0.7,0.004,14,119
81,61.05527638,2.560941062,3.402847706,0.004780915,0.9,0.7,0.004,14,119
82,61.80904523,2.570214777,3.438725185,0.004806588,0.9,0.7,0.004,14,119
83,62.56281407,2.579313991,3.474643444,0.004831782,0.9,0.7,0.004,14,119
84,63.31658291,2.588241064,3.510601954,0.004856503,0.9,0.7,0.004,14,119
85,64.07035176,2.596998369,3.54660018,0.004880759,0.9,0.7,0.004,14,119
86,64.8241206,2.605588291,3.58263758,0.004904555,0.9,0.7,0.004,14,119
87,65.57788945,2.614013229,3.618713609,0.0049279,0.9,0.7,0.004,14,119
88,66.33165829,2.622275593,3.654827717,0.0049508,0.9,0.7,0.004,14,119
89,67.08542714,2.630377809,3.690979348,0.004973263,0.9,0.7,0.004,14,119
90,67.83919598,2.638322312,3.727167941,0.004995294,0.9,0.7,0.004,14,119
91,68.59296482,2.646111552,3.763392932,0.0050169,0.9,0.7,0.004,14,119
92,69.34673367,2.653747991,3.799653748,0.00503809,0.9,0.7,0.004,14,119
93,70.10050251,2.661234105,3.835949815,0.005058869,0.9,0.7,0.004,14,119
94,70.85427136,2.668572382,3.872280552,0.005079245,0.9,0.7,0.004,14,119
95,71.6080402,2.675765322,3.908645374,0.005099224,0.9,0.7,0.004,14,119
96,72.36180905,2.682815439,3.945043689,0.005118814,0.9,0.7,0.004,14,119
97,73.11557789,2.689725259,3.981474901,0.00513802,0.9,0.7,0.004,14,119
98,73.86934673,2.696497322,4.017938411,0.005156851,0.9,0.7,0.004,14,119
99,74.62311558,2.703134179,4.054433613,0.005175312,0.9,0.7,0.004,14,119
100,75.37688442,2.709638396,4.090959895,0.005193412,0.9,0.7,0.004,14,119
101,76.13065327,2.716012549,4.127516642,0.005211156,0.9,0.7,0.004,14,119
102,76.88442211,2.72225923,4.164103233,0.005228551,0.9,0.7,0.004,14,119
103,77.63819095,2.728381042,4.200719043,0.005245605,0.9,0.7,0.004,14,119
104,78.3919598,2.7343806,4.23736344,0.005262324,0.9,0.7,0.004,14,119
105,79.14572864,2.740260534,4.274035789,0.005278715,0.9,0.7,0.004,14,119
106,79.89949749,2.746023485,4.310735449,0.005294785,0.9,0.7,0.004,14,119
107,80.65326633,2.751672108,4.347461774,0.00531054,0.9,0.7,0.004,14,119
108,81.40703518,2.757209069,4.384214113,0.005325988,0.9,0.7,0.004,14,119
109,82.16080402,2.76263705,4.42099181,0.005341136,0.9,0.7,0.004,14,119
110,82.91457286,2.767958742,4.457794205,0.00535599,0.9,0.7,0.004,14,119
111,83.66834171,2.773176852,4.494620631,0.005370556,0.9,0.7,0.004,14,119
112,84.42211055,2.778294098,4.531470418,0.005384843,0.9,0.7,0.004,14,119
113,85.1758794,2.783313211,4.568342889,0.005398856,0.9,0.7,0.004,14,119
114,85.92964824,2.788236936,4.605237364,0.005412602,0.9,0.7,0.004,14,119
115,86.68341709,2.793068029,4.642153157,0.005426089,0.9,0.7,0.004,14,119
116,87.43718593,2.79780926,4.679089576,0.005439323,0.9,0.7,0.004,14,119
117,88.19095477,2.802463412,4.716045926,0.00545231,0.9,0.7,0.004,14,119
118,88.94472362,2.807033279,4.753021505,0.005465058,0.9,0.7,0.004,14,119
119,89.69849246,2.811521671,4.790015608,0.005477574,0.9,0.7,0.004,14,119
120,90.45226131,2.815931408,4.827027523,0.005489864,0.9,0.7,0.004,14,119
121,91.20603015,2.820265323,4.864056535,0.005501934,0.9,0.7,0.004,14,119
122,91.95979899,2.824526264,4.901101922,0.005513793,0.9,0.7,0.004,14,119
123,92.71356784,2.828717089,4.938162959,0.005525445,0.9,0.7,0.004,14,119
124,93.46733668,2.832840672,4.975238913,0.005536899,0.9,0.7,0.004,14,119
125,94.22110553,2.836899896,5.01232905,0.005548161,0.9,0.7,0.004,14,119
126,94.97487437,2.84089766,5.049432627,0.005559238,0.9,0.7,0.004,14,119
127,95.72864322,2.844836874,5.086548899,0.005570136,0.9,0.7,0.004,14,119
128,96.48241206,2.848720461,5.123677114,0.005580863,0.9,0.7,0.004,14,119
