t,theta,omega
4.904904904904905,-0.279840469965682,1.0959266533793226
4.924924924924925,-0.28541934633346794,1.1034120741469446
4.944944944944945,-0.26390535696854656,1.1183589033043393
4.964964964964965,-0.2722953892528613,1.0978248578958
4.984984984984985,-0.2533253018950856,1.079094399343612
5.005005005005005,-0.1639886928497664,1.130923561393164
5.025025025025025,-0.18333622982310402,1.0865561050921926
5.045045045045045,-0.20585050186145107,1.1088814431320229
5.065065065065065,-0.07570639850625599,1.131150263288631
5.085085085085085,-0.112811304052719,1.1340090199544148
5.105105105105105,-0.11030352825215856,1.120567361494078
5.125125125125125,-0.054527653370752986,1.1261481653729575
5.145145145145145,-0.018111283745656893,1.1356681366712178
5.165165165165165,0.002042505843017352,1.115460720544088
5.185185185185185,0.029240223227873056,1.161807306587499
5.205205205205205,0.014484331866452028,1.1110225229015847
5.225225225225225,0.0831928382281944,1.1240453037041112
5.245245245245245,0.10712078598879646,1.117665919086589
5.265265265265265,0.1306808303582256,1.1273407338387775
5.285285285285285,0.12923941616181642,1.1537513334738654
5.305305305305305,0.1392847527106076,1.1009340961421334
5.325325325325325,0.15993568915062525,1.1256588235155829
5.345345345345345,0.1599112317449186,1.1257760296186592
5.365365365365365,0.2026942547826799,1.1319593922157138
5.385385385385385,0.1877428382168576,1.088813980591255
5.405405405405405,0.22396348322881315,1.0831324220548266
5.425425425425425,0.28460882947417016,1.090758031708821
5.445445445445445,0.29644000169415563,1.0854228734521765
5.465465465465465,0.3273083463890385,1.0622832491716037
5.485485485485485,0.35898330136676915,1.0891433328348643
5.505505505505505,0.37401731149268846,1.0800509193202292
5.525525525525525,0.3935716085630677,1.1022519749991242
5.545545545545545,0.4070765658583438,1.0476452216477343
5.565565565565565,0.4147637801275968,1.024990477606979
5.585585585585585,0.4257937674676758,1.0193276783279175
5.605605605605605,0.4699438977815661,1.0348832691431473
5.625625625625625,0.49287265836636557,1.003613254996816
5.645645645645645,0.5301565506283121,1.0240788467771702
5.665665665665665,0.5290665333121388,0.9862462934133334
5.685685685685685,0.563131311840601,0.9927330063732932
5.7057057057057055,0.5428932424773963,0.976945383160967
5.7257257257257255,0.5965726399383909,0.9493128328039727
5.7457457457457455,0.6143815075545378,0.9268901585778764
5.7657657657657655,0.6563312932334734,0.9693115653136195
5.7857857857857855,0.6433441662337299,0.9396816917175749
5.8058058058058055,0.6187409817612276,0.8970478235074438
5.8258258258258255,0.6793608355158657,0.8862045102425918
5.8458458458458455,0.717567700595792,0.9347838284929679
5.865865865865866,0.6975316394645876,0.8650058045087774
5.885885885885886,0.7432924748131325,0.9006291200592802
5.905905905905906,0.7313857728429873,0.8597818778994443
5.925925925925926,0.8092340937222273,0.807911014270038
5.945945945945946,0.7638817843748447,0.818377789633903
5.965965965965966,0.7955018945258834,0.8287722912933254
5.985985985985986,0.8268682014761682,0.7624658571325916
6.006006006006006,0.8481709728382814,0.7716414310863747
6.026026026026026,0.8788815980876239,0.755657543609709
6.046046046046046,0.8558882390437655,0.7638465795508286
6.066066066066066,0.8988009906000552,0.7466056417670279
6.086086086086086,0.8644426277972405,0.7328364750603019
6.106106106106106,0.8917670408911432,0.711033113855552
6.126126126126126,0.897960115729075,0.6993326286988067
6.146146146146146,0.9239640052802025,0.6486658540039092
6.166166166166166,0.967709883774268,0.6629044063289522
6.186186186186186,0.9541646378498255,0.6706953640926238
6.206206206206206,0.9703120227098181,0.6257680615933081
6.226226226226226,0.9968515785374643,0.5960469535986318
6.246246246246246,1.012908878576403,0.5809520710849055
6.266266266266266,1.0069282240392214,0.6019273815540715
6.286286286286286,1.005683610633062,0.5093508241904136
6.306306306306306,1.069705542499182,0.591409151067867
6.326326326326326,1.0400277562293754,0.48439186191252537
6.346346346346346,1.0522225169409567,0.5000055167422904
6.366366366366366,1.0645834481767433,0.46596418547804747
6.386386386386386,1.0895716148217414,0.48112982110441843
6.406406406406406,1.057337647887538,0.46694207867777143
6.426426426426427,1.1371699917698834,0.43863139864113176
6.446446446446447,1.0979038397053469,0.4145064418862108
6.466466466466467,1.1251314963190389,0.3648121979321549
6.486486486486487,1.1239307010604596,0.373624683199808
6.506506506506507,1.165055047345203,0.3598923103210113
6.526526526526527,1.1685498033905892,0.3231803514654188
6.546546546546547,1.1536673727338618,0.3334641699913228
6.566566566566567,1.1309068854537876,0.31239056382317343
6.586586586586587,1.1785382980252974,0.2840825179259338
6.606606606606607,1.126082230135614,0.27187568244735183
6.626626626626627,1.1471391462296183,0.24700511739972575
6.646646646646647,1.1684537023451913,0.20132373387860897
6.666666666666667,1.1423010939859837,0.22662614277230272
6.686686686686687,1.1683189394642395,0.147204380471947
6.706706706706707,1.1982588566869767,0.1854307213144884
6.726726726726727,1.1717021743584561,0.13510346499072043
6.746746746746747,1.2057420391155746,0.14985952868586178
6.766766766766767,1.239352195465734,0.13268739835176346
6.786786786786787,1.201756141926163,0.1023377398083479
6.806806806806807,1.2122668461271318,0.09955508686482316
6.826826826826827,1.2225221150445376,0.05799122846270424
6.846846846846847,1.1899625596955963,0.04018992396345142
6.866866866866867,1.2152964732036677,0.06108652412409661
6.886886886886887,1.1907398763235595,0.003966082412147133
6.906906906906907,1.2062609324192932,-0.011112962286608987
6.926926926926927,1.2187096078097115,-0.06989166920256067
6.946946946946947,1.1824500708695194,-0.05915922689731101
6.966966966966967,1.1515192785640325,-0.08143210662634008
6.986986986986987,1.1781922477807398,-0.08482079067062764
7.007007007007007,1.216950612654066,-0.10432742837310527
7.027027027027027,1.1718981635135712,-0.11917818529759441
7.047047047047047,1.2109485935985584,-0.15615367185268536
7.067067067067067,1.1688322255490722,-0.14403855667163534
7.087087087087087,1.179319958596946,-0.16081158630273934
7.107107107107107,1.179813554182254,-0.17825346030215117
7.127127127127127,1.1553501454905,-0.2110245226802429
7.147147147147147,1.167433153501972,-0.2535642464083785
7.167167167167167,1.1356033513999926,-0.2339593291764229
7.187187187187187,1.154711277655111,-0.28650877456174184
7.207207207207207,1.1542964344448583,-0.2618492286380724
7.227227227227227,1.1047281020576771,-0.3326428913498692
7.247247247247247,1.125642089745568,-0.2917375183911755
7.267267267267267,1.143143659555693,-0.32381247915591294
7.287287287287287,1.107717048554858,-0.3796901845948145
7.307307307307307,1.1321423159062933,-0.3742135814375497
7.327327327327327,1.1264652840993423,-0.3971469595107176
7.347347347347347,1.1129978861745933,-0.4081762823829469
7.367367367367367,1.1145763316856812,-0.413069924006846
7.387387387387387,1.0578525045186427,-0.49194869362830207
7.407407407407407,1.1011584126060538,-0.44095922292704315
7.4274274274274275,1.0512309116167358,-0.519533217925102
7.4474474474474475,1.0637920462117534,-0.4812499774646452
7.4674674674674675,1.0875812307729136,-0.5069733832843408
7.4874874874874875,1.0336650163120509,-0.5524916568142616
7.5075075075075075,1.0304525190545755,-0.5578357651341115
7.5275275275275275,0.9987026359141178,-0.5279829445528663
7.5475475475475475,1.0431465566047635,-0.5632251157895406
7.5675675675675675,0.9771265194018282,-0.5857083085362254
7.587587587587588,0.9961001095368138,-0.6106889295539185
7.607607607607608,0.995731349622266,-0.6234259192974476
7.627627627627628,0.9726380214376769,-0.6398447284808916
7.647647647647648,0.9514254341604741,-0.7045541065249704
7.667667667667668,0.9327291506966042,-0.6961476264728668
7.687687687687688,0.8915855005520752,-0.6673654383674649
